sr. no.,heading,synopsis,link,section
239,Made in India EV superbike with 221 km range and top speed of 135 kph launched,"Orxa Energies, an electric vehicle (EV) and energy systems company, has announced the launch of its flagship electric motorcycle, Mantis. It  boasts a top speed of 135 kmph and accelerates from 0 to 100 kmph in 8.9 seconds.",https://economictimes.indiatimes.com/news/politics//industry/renewables/made-in-india-ev-superbike-with-221-km-range-and-top-speed-of-135-kph-launched/articleshow/105418333.cms,industry
241,State Govt and Bank Holidays in Maharashtra 2024,Public and bank holidays in India vary according on the state and the main festivals in the area. Let's take an example where some states do not observe Chhatrapati Shivaji Maharaj Jayanti whereas Maharashtra does.,https://economictimes.indiatimes.com/news/politics//wealth/save/state-govt-and-bank-holidays-in-maharashtra-2024/articleshow/105386282.cms,wealth
242,ChatGPT maker OpenAI's board ousts Sam Altman as CEO,"Sam Altman took to X (formerly Twitter) to announce his departure. OpenAI's chief technology officer Mira Murati will serve as interim CEO, the company said, adding that it will conduct a formal search for a permanent CEO.",https://economictimes.indiatimes.com/news/politics//tech/technology/chatgpt-maker-openais-board-ousts-ceo-sam-altman/articleshow/105300460.cms,tech
244,Be vocal against parochial in India,"According to the 2011 census, about 210 million people migrated in the preceding decade within India. Under the Haryana law, 'locals' are defined as permanent residents or living in the state for at least 15 years. This automatically bars employment for those residing in other parts of India.",https://economictimes.indiatimes.com/news/politics//opinion/et-editorial/be-vocal-against-parochial-in-india/articleshow/105394869.cms,opinion
245,Is a bearish trend unfolding in the US DXY amid economic uncertainties?,"In October, the US DXY was seen oscillating between 105.50 to 107.40. However, the Dovish Fed led to a breakdown in US DXY below 105.40.",https://economictimes.indiatimes.com/news/politics//markets/forex/is-a-bearish-trend-unfolding-in-the-us-dxy-amid-economic-uncertainties/articleshow/105377700.cms,markets
247,Game on: Casters beat players in esports winnings,"​Esports casters like Ocean Sharma, Varun John, Sudhen Wahengbam, Kaavya Karthikeyan and many others are being well rewarded as hosts of tournaments such as BGMI, Valorant, CS:GO and even making a mark internationally.",https://economictimes.indiatimes.com/news/politics//tech/technology/game-on-casters-beat-players-in-esports-winnings/articleshow/105394577.cms,tech
248,"Cred launches vehicle management platform Garage, makes first move into motor insurance distribution","Fintech startup Cred has launched a new platform called Garage, which aims to help users with vehicle management tasks such as renewing car insurance and recharging FASTags. Garage will offer users a single dashboard for roadside assistance, managing documentation, and providing insights on vehicle spends.",https://economictimes.indiatimes.com/news/politics//tech/startups/cred-launches-vehicle-management-platform-garage/articleshow/104007059.cms,tech
249,Weighty family affairs of high-flyer Gautam Singhania,"Gautam, the Chairman & Managing Director of Raymond, is parting ways with his wife Nawaz Modi Singhania. The estranged wife of billionaire industrialist has sought 75% of his reportedly $1.4 billion net worth for her two daughters, Niharika and Nisa, and herself, as part of a family settlement, following the couple’s separation.",https://economictimes.indiatimes.com/news/politics//news/company/corporate-trends/father-brother-and-now-wife-weighty-family-affairs-of-high-flyer-gautam-singhania/articleshow/105360566.cms,news
250,Justin Trudeau confirms attendance at Virtual G20 summit amid India-Canada diplomatic stand-off,"Canada Prime Minister Justin Trudeau will attend the virtual G20 Leaders' Summit hosted by India, amid a diplomatic standoff between India and Canada. Trudeau has reaffirmed his allegation of Indian involvement in the killing of Hardeep Singh Nijjar. In October, Canada pulled out 41 diplomats from India and halted its visa and consular services due to the Union government's decision to strip them of their immunity.",https://economictimes.indiatimes.com/news/politics//news/india/justin-trudeau-confirms-attendance-at-virtual-g20-summit-amid-india-canada-diplomatic-stand-off/articleshow/105404019.cms,news
251,"Crypto Price Today: Bitcoin holds above $37,300; Solana, Avalanche decline over 6%","Meanwhile, the global cryptocurrency market cap increased by 0.08% to around $1.42 trillion in the last 24 hours.",https://economictimes.indiatimes.com/news/politics//markets/cryptocurrency/crypto-prices-today-live-news-bitcoin-dogecoin-ethereum-shibha-inu-cryptocurrency-latest-updates-21-november-2023/articleshow/105377980.cms,markets
252,"Not just businesspersons, professional CXOs are also joining the road to philanthropy","The Edelgive Hurun India Philanthropy List 2023 released recently showed that AM Naik, Chairman Emeritus L&T, was one of India’s most generous professional managers. He has donated over Rs 150 crore.",https://economictimes.indiatimes.com/news/politics//jobs/c-suite/not-just-businesspersons-professional-cxos-are-also-joining-the-road-to-philanthropy/articleshow/105349292.cms,jobs
253,FDI shrinks 7.8% in second quarter of FY24,"Foreign direct investment (FDI) equity inflows in India declined 7.7% to $9.5 billion in the July-September quarter of FY24, down from $10.3 billion a year ago. The total FDI inflows declined 7.8% to $15.3 billion in the second quarter of this fiscal year. Singapore and Mauritius were the top sources of FDI.",https://economictimes.indiatimes.com/news/politics//news/economy/finance/fdi-shrinks-7-8-in-second-quarter-of-fy24/articleshow/105391847.cms,news
254,"Forbidden Fruit Festival 2024: Nelly Furtado, Bicep and others to play at  Dublin music festival","Ireland is getting ready for Forbidden Fruit 2024 on June 1 and 2. About fifteen artists, including  Nelly Furtado, Bicep and others were announced to perform in the mega festival of Ireland. The ticket prices of the fest will start from 129 Euros and the sale will start on November 29.",https://economictimes.indiatimes.com/news/politics//news/international/us/forbidden-fruit-festival-2024-nelly-furtado-bicep-and-others-to-play-at-dublin-music-festival/articleshow/105421928.cms,news
256,Several mergers and acquisitions on halt as India Inc checks tax liabilities amid increasing GST notices,Several mergers and acquisitions (M&As) are understood to have been delayed or put on the backburner as tax experts assist companies in figuring out the impact of GST on proposed deals.,https://economictimes.indiatimes.com/news/politics//news/company/corporate-trends/companies-take-ten-on-mergers-and-acquisitions-do-their-gst-sums-first/articleshow/105399436.cms,news
257,Byju’s appoints Arjun Mohan as India CEO; incumbent Mrinal Mohit on way out,"Internally, the decision was announced on Wednesday. Mohit is leaving after spending nearly 10 years at Byju's. He was a close lieutenant of founder Byju Raveendran.",https://economictimes.indiatimes.com/news/politics//tech/technology/byjus-appoints-arjun-mohan-as-ceo-incumbent-mrinal-mohit-on-way-out/articleshow/103807645.cms,tech
258,Fedbank Financial offers exposure to the fast growing MSME lending business,"True North Fund, a private equity firm and the selling investor, will reduce its stake to 14.4% from 25.4%. The lender focuses on rapidly growing segments of micro, small and medium enterprises (MSME), self employed individuals and gold loans.",https://economictimes.indiatimes.com/news/politics//markets/ipos/fpos/fedbank-financial-offers-exposure-to-fast-growing-msme-lending-business/articleshow/105391234.cms,markets
260,It's not an OpenAI and shutAI case,"Altman is a votary of social antibodies to AI, among which is corporate ethics. This should be of the highest order in a company whose products are expected to upend corporate functioning.",https://economictimes.indiatimes.com/news/politics//opinion/et-editorial/its-not-an-openai-and-shutai-case/articleshow/105336986.cms,opinion
261,Eye on future! Economics and domestic politics will dictate market trends,"After the crash triggered by the outbreak of Covid-19 which took the Nifty to 7511 in March 2020, the market staged a rally which has taken the Nifty to around 19600 level now.",https://economictimes.indiatimes.com/news/politics//markets/stocks/news/eye-on-future-economics-and-domestic-politics-will-dictate-market-trends/articleshow/105405856.cms,markets
262,Leading namkeen maker Gopal Snacks files draft IPO papers with Sebi,"The IPO is entirely an offer for sale (OFS) of equity shares worth up to Rs 650 crore by promoters and other selling shareholders.  Under the OFS, Bipinbhai Vithalbhai Hadvani, Gopal Agriproducts, Harsh Sureshkumar Shah will participate.",https://economictimes.indiatimes.com/news/politics//markets/ipos/fpos/leading-namkeen-maker-gopal-snacks-files-draft-ipo-papers-with-sebi/articleshow/105423395.cms,markets
263,Banks seek ITR access via NSDL to vet borrower info,"Lenders say large- and small-value loan customers have previously falsified data for expanding their borrowing limits. Last year, Can Fin Homes detected fake ITRs in 37 accounts at its Bhilwara branch in Rajasthan, after complaints were made.",https://economictimes.indiatimes.com/news/politics//industry/banking/finance/banks-seek-itr-access-via-nsdl-to-vet-borrower-info/articleshow/105398768.cms,industry
264,ETMarkets launches Crypto Corner in collaboration with Mudrex,"With ETMarkets Crypto Corner, we go multi-format to ensure your crypto journey becomes an immersive experience. So, you will not just read, but also watch and listen to all things crypto at this corner. Our coverage of cryptocurrency will be multi-dimensional. We will lean on data, text and audio-visual formats for a wholesome experience.",https://economictimes.indiatimes.com/news/politics//markets/cryptocurrency/etmarkets-launches-crypto-corner-in-collaboration-with-mudrex/articleshow/104842345.cms,markets
265,Atlas raises $27 million for new nickel technology for EV batteries,"Atlas Materials has raised $27 million to build a pilot plant in North America for processing low-grade nickel for electric vehicle batteries. The company has developed a way to treat a type of nickel ore, normally used in stainless steel, into a form suitable for EV batteries with low emissions and no waste.",https://economictimes.indiatimes.com/news/politics//tech/technology/atlas-raises-27-million-for-new-nickel-technology-for-ev-batteries/articleshow/104010136.cms,tech
266,"Diwali offers 2023: Check SBI, HDFC Bank, ICICI Bank, Kotak Mahindra Bank offers to get the best deals, discounts","Diwali shopping 2023: To maximise savings this Diwali, you must know the latest offers and deals from the prominent banks — State Bank of India (SBI), HDFC Bank, ICICI Bank, Kotak Mahindra Bank and Axis Bank.  From instant discounts to cashback to rewards, there is something for everyone. ET Wealth Online has made a list of the top deals and discounts that banks are offering for Diwali 2023.",https://economictimes.indiatimes.com/news/politics//wealth/spend/diwali-offers-2023-check-sbi-hdfc-bank-icici-bank-kotak-mahindra-bank-offers-to-get-the-best-deals-discounts/articleshow/105031823.cms,wealth
267,Sam Altman-founded Worldcoin's crypto token crashes 12% after his ouster from OpenAI,"Worldcoin, the crypto project co-founded by Sam Altman who has been sacked as OpenAI CEO in a dramatic move, saw its token crashing on Saturday.",https://economictimes.indiatimes.com/news/politics//tech/technology/sam-altman-founded-worldcoins-crypto-token-crashes-12-after-his-ouster-from-openai/articleshow/105308480.cms,tech
268,Coca-Cola India enters ready-to-drink tea beverages segment,"The organic green tea for the product will be sourced from Kolkata-based Luxmi Tea Co Private Ltd's Makaibari Tea Estate, company officials said.",https://economictimes.indiatimes.com/news/politics//industry/cons-products/food/coca-cola-india-enters-ready-to-drink-tea-beverages-segment/articleshow/105421792.cms,industry
269,Looking for anti-consensus ideas? Jyotivardhan Jaipuria says only 2 sectors left,"“Pharma had been going through bad times for the last 18 months in terms of stock price. Earnings were not that great but will turn around and that is one segment where we are playing. IT is also there. It is coming on our horizon after a long time. Because we have been underweight on this for quite some time, like we used to say, buy local, avoid global.”",https://economictimes.indiatimes.com/news/politics//markets/expert-view/looking-for-anti-consensus-ideas-jyotivardhan-jaipuria-says-only-2-sectors-left/articleshow/105417684.cms,markets
270,"Crypto Price Today: Bitcoin falls below $36,400; Solana, Polygon tank up to 13%","""Macro factors, including a potential US Federal Reserve tapering cycle in 2024, are contributing to cryptocurrency tailwinds. Chart analysis suggests an ascending triangle with bullish growth, with a break above $38,000 potentially leading to a test of $40,000,"" Sathvik said.",https://economictimes.indiatimes.com/news/politics//markets/cryptocurrency/crypto-prices-today-live-news-bitcoin-dogecoin-ethereum-shibha-inu-cryptocurrency-latest-updates-17-november-2023/articleshow/105285036.cms,markets
271,Here's why Melissa Barrera was fired from ‘Scream’,"Actress Melissa Barrera is dropped from ""Scream VII"" after controversial social media posts on the Israel-Hamas War. Spyglass Media cites antisemitism concerns, while emphasizing zero tolerance. Barrera faces industry scrutiny over personal views and professional engagements.",https://economictimes.indiatimes.com/news/politics//news/international/us/heres-why-melissa-barrera-was-fired-from-scream/articleshow/105421770.cms,news
272,Singhania settlement: Nawaz Modi sets terms for split from Gautam Singhania,Raymond Chairman & MD Gautam Singhania wants to put wealth in a family trust and be its managing trustee for life. Both sides have lawyered up. Haigreve Khaitan has been appointed as a legal advisor for Gautam Singhania while law firm Rashmi Kant is believed to have been roped in by Nawaz.,https://economictimes.indiatimes.com/news/politics//news/india/singhania-settlement-nawaz-modi-sets-terms-for-split-from-gautam-singhania/articleshow/105340386.cms,news
273,Looking for a job in IT sector? Develop these skillsets to be in demand,"Kapil Joshi, Deputy CEO, Quess IT Staffing, a provider of staff augmentation solutions, says that they have observed a sustained demand for early career professionals in roles related to data engineering, development (Java, Angular), ERPs, Power BI, network engineering, cybersecurity and UI/UX.",https://economictimes.indiatimes.com/news/politics//jobs/mid-career/looking-for-a-job-in-it-sector-develop-these-skillsets-to-be-in-demand/articleshow/105390177.cms,jobs
275,IDBI Bank share sale unlikely before 2024 general elections: Sources,"The Reserve Bank of India, also the country's banking regulator, has not yet completed ""fit and proper"" vetting on the interested bidders, who include Emirates NBD and Canadian billionaire Prem Watsa, after which the bidders can do their due diligence and place their financial bids, the sources said.",https://economictimes.indiatimes.com/news/politics//industry/banking/finance/idbi-bank-share-sale-unlikely-before-2024-general-elections-sources/articleshow/105419053.cms,industry
276,"Canada temporarily shuts consulates in Bengaluru, Chandigarh & Mumbai, tells Indians to expect delays in visa processing","The Immigration, Refugees and Citizenship Canada (IRCC) has announced a slowdown in Indian visa applications in response to the ongoing diplomatic standoff between India and Canada. The tension escalated after Canada removed 41 of its diplomats from India, prompting India to remove immunities for all but 21 Canadian diplomats.",https://economictimes.indiatimes.com/news/politics//news/international/canada/expect-delays-in-visa-processing-canada-tells-indians/articleshow/104576186.cms,news
277,BJP tries to corner Ashok Gehlot over riots in home district,"The BJP has been accusing Gehlot of indulging in appeasement, apart from lashing out at him by raising governance issues such as the cases of paper leaks and increase in rape cases.",https://economictimes.indiatimes.com/news/politics//news/elections/assembly-elections/rajasthan-assembly-elections/bjp-tries-to-corner-ashok-gehlot-over-riots-in-home-district/articleshow/105365529.cms,news
